,"Document Description List
Updated 04/27/2022 - See tab ""list of changes""",,,,,,,,,,
Amendment,Electronic Record Correction,"The USPTO has established a retention period of one year for patent-related papers
that have been scanned into the Image File Wrapper system (IFW) or the
Supplemental Complex Repository for Examiners (SCORE).
After the expiration of the one-year retention period (after September 1, 2012, or later),
the USPTO will dispose of the paper unless, within sufficient time
prior to disposal of the paper, the relevant patent applicant, patent
owner, or reexamination party files a bona fide request to correct the
electronic record of the paper in IFW or SCORE, and the request remains
outstanding at the time disposal of the paper would have otherwise
occurred. ",E.RECORD.COR,"
DESIGN
","
FOLLOWON
",,,,,,
Amendment,Response to Election / Restriction Filed                                                                                        ,"Restriction is a generic term that includes the practice of requiring an election between distinct inventions, for example, election between combination and subcombination inventions, and the practice relating to an election between independent inventions, for example, an election of species. An Examiner may make a restriction requirement when an application may properly support separate patents and they are either independent or distinct. The Examiner may make this request either over the telephone, in which case the applicant's response is recorded in the next Office action, or in a separate letter making the Election or Restriction requirement. In the latter case, the applicant responds to this requirement in a separate response electing an invention or species to be examined.",ELC.        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Amendment Copying Claims - Not in Response to Examiner Suggesting Claims.                                                                            ,"While the claims of two or more applications may not be identical, if they are directed to the same patentable invention, an interference exists. If an applicant presents a claim that allegedly corresponds exactly or substantially to a claim in another application or patent without suggestion by the Examiner, the Examiner will require him or her to identify the other application or patent.",IACN       ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Amendment Copy Claims/Response to Suggested Claims                                                                              ,"While the claims of two or more applications may not be identical, an interference exists if they are directed to the same patentable invention. If an applicant is not claiming the same patentable invention as another applicant, the examiner may suggest a claim or claims to the first applicant, provided the intention of the parties to claim the same patentable invention as expressed in the summary of the invention or elsewhere in the disclosure or claims is present. When an examiner suggests a claim, the applicant will be required to copy verbatim as suggested. A reply to the examiner's suggestion of a claim is not complete unless it includes an amendment adding the exact claim suggested to the application.",IACS        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Applicant summary of interview with examiner                                                                                    ,This letter from the applicant provides the applicant's summary of an interview held with the examiner.,INTRVIEW.APP,"371
DESIGN
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Request under Rule 48 correcting inventorship                                                                                   ,Applicant can file a request to correct inventorship under Rule 48 at any time during prosecution of an application.,R48.REQ     ,"371
DESIGN
PROVSNL
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Request for Continued Examination (RCE)                                                                                         ,"If prosecution in an application is closed, an applicant may request continued examination (RCE) of the application by filing a submission and the fee prior to payment of the issue fee, abandonment of the application, or the filing of a notice of appeal. A submission includes, but is not limited to, an information disclosure statement, an amendment to the written description, claims, or drawings, new arguments, or new evidence in support of patentability. The USPTO will withdraw the finality of any Office action and the submission will be entered and considered.",RCEX        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Applicant Arguments/Remarks Made in an Amendment                                                                                ,"A reply by the applicant to an office action must request reconsideration for further examination, must distinctly and specifically point out the supposed errors in the examiner's action and must reply to every ground of objection and rejection in the prior Office action. The reply must present arguments or remarks pointing out the specific distinctions believed to render the claims, including any newly presented claims, patentable over any applied references. In the amendment in reply to a rejection of claims, applicant's arguments or remarks must clearly point out the patentable novelty which he or she thinks the claims present in view of the references cited or the objections made.",REM         ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
Amendment,Supplemental Response or Supplemental Amendment                                                                                 ,"Supplemental Response filed by the applicant at any time during prosecution in response to a communication issued by the USPTO to address informalities, corrections to the application or to augment arguments or a prior amendment submitted.",SA..        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Specification                                                                                                                   ,The written description of the invention.,SPEC        ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
